Date,BTC-USD,GC=F,^VIX
2014-09-17,457.3340148925781,1234.4000244140625,12.649999618530273
2014-09-18,424.44000244140625,1225.699951171875,12.029999732971191
2014-09-19,394.7959899902344,1215.300048828125,12.109999656677246
2014-09-22,402.1520080566406,1216.800048828125,13.6899995803833
2014-09-23,435.7909851074219,1221.0,14.930000305175781
2014-09-24,423.2049865722656,1218.5999755859375,13.270000457763672
2014-09-25,411.5740051269531,1221.199951171875,15.640000343322754
2014-09-26,404.42498779296875,1214.0999755859375,14.850000381469727
2014-09-29,375.4670104980469,1217.5,15.979999542236328
2014-09-30,386.9440002441406,1210.5,16.309999465942383
2014-10-01,383.614990234375,1214.5999755859375,16.709999084472656
2014-10-02,375.0719909667969,1214.199951171875,16.15999984741211
2014-10-03,359.5119934082031,1192.199951171875,14.550000190734863
2014-10-06,330.0790100097656,1206.699951171875,15.460000038146973
2014-10-07,336.18701171875,1211.699951171875,17.200000762939453
2014-10-08,352.94000244140625,1205.300048828125,15.109999656677246
2014-10-09,365.0260009765625,1224.5999755859375,18.760000228881836
2014-10-10,361.56201171875,1221.0,21.239999771118164
2014-10-13,390.41400146484375,1229.300048828125,24.639999389648438
2014-10-14,400.8699951171875,1233.5999755859375,22.790000915527344
2014-10-15,394.77301025390625,1244.0999755859375,25.270000457763672
2014-10-16,382.5559997558594,1240.5,25.200000762939453
2014-10-17,383.75799560546875,1238.300048828125,21.989999771118164
2014-10-20,382.8450012207031,1244.0,18.56999969482422
2014-10-21,386.4750061035156,1251.0,16.079999923706055
2014-10-22,383.1579895019531,1244.800048828125,17.8700008392334
2014-10-23,358.4169921875,1228.5,16.530000686645508
2014-10-24,358.3450012207031,1231.199951171875,16.110000610351562
2014-10-27,352.989013671875,1229.0999755859375,16.040000915527344
2014-10-28,357.6180114746094,1229.199951171875,14.390000343322754
2014-10-29,335.59100341796875,1224.300048828125,15.149999618530273
2014-10-30,345.30499267578125,1198.0999755859375,14.520000457763672
2014-10-31,338.3210144042969,1171.0999755859375,14.029999732971191
2014-11-03,327.5539855957031,1169.4000244140625,14.729999542236328
2014-11-04,330.49200439453125,1167.4000244140625,14.890000343322754
2014-11-05,339.4859924316406,1145.4000244140625,14.170000076293945
2014-11-06,349.2900085449219,1142.300048828125,13.670000076293945
2014-11-07,342.4150085449219,1169.5999755859375,13.119999885559082
2014-11-10,366.92401123046875,1159.5999755859375,12.670000076293945
2014-11-11,367.69500732421875,1162.800048828125,12.920000076293945
2014-11-12,423.5610046386719,1158.9000244140625,13.020000457763672
2014-11-13,420.7349853515625,1161.0999755859375,13.789999961853027
2014-11-14,397.8179931640625,1185.0,13.3100004196167
2014-11-17,387.4079895019531,1183.0,13.989999771118164
2014-11-18,375.197998046875,1196.699951171875,13.859999656677246
2014-11-19,380.55499267578125,1193.5999755859375,13.960000038146973
2014-11-20,357.8399963378906,1190.699951171875,13.579999923706055
2014-11-21,350.8479919433594,1197.5,12.899999618530273
2014-11-24,376.9010009765625,1195.5,12.619999885559082
2014-11-25,375.3479919433594,1197.0999755859375,12.25
2014-11-26,368.3699951171875,1196.5999755859375,12.069999694824219
2014-11-28,376.4469909667969,1175.199951171875,13.329999923706055
2014-12-01,379.2449951171875,1218.0,14.15999984741211
2014-12-02,381.31500244140625,1199.199951171875,12.850000381469727
2014-12-03,375.010009765625,1208.5,12.5
2014-12-04,369.60400390625,1207.5,12.380000114440918
2014-12-05,376.85400390625,1190.0999755859375,11.890000343322754
2014-12-08,361.90899658203125,1194.699951171875,14.210000038146973
2014-12-09,352.218994140625,1231.5,15.350000381469727
